
Event 0
g [21] (status=21) pt=0.00, eta=23104.00, phi=0.00, mass=0.00
  t [6] (status=22) pt=111.00, eta=1.71, phi=-0.34, mass=171.50
    t [6] (status=62) pt=108.75, eta=1.70, phi=-0.13, mass=171.39
      W+ [24] (status=22) pt=54.50, eta=2.01, phi=0.95, mass=80.75
        W+ [24] (status=52) pt=53.75, eta=2.01, phi=0.93, mass=80.75
          tau+ [-15] (status=23) pt=67.00, eta=1.25, phi=0.58, mass=0.00
            tau+ [-15] (status=2) pt=67.00, eta=1.25, phi=0.58, mass=0.00
              nu(tau)~ [-16] (status=1) pt=23.81, eta=1.23, phi=0.60, mass=0.00
              pi+ [211] (status=1) pt=43.12, eta=1.27, phi=0.56, mass=0.00
            gamma [22] (status=1) pt=0.00, eta=1.90, phi=0.68, mass=0.00
          nu(tau) [16] (status=23) pt=25.12, eta=1.98, phi=2.87, mass=0.00
            nu(tau) [16] (status=1) pt=25.12, eta=1.98, phi=2.87, mass=0.00
      b [5] (status=23) pt=95.50, eta=0.82, phi=-0.65, mass=0.00
        b [5] (status=71) pt=69.50, eta=0.84, phi=-0.58, mass=0.00
        B*- [-523] (status=2) pt=65.75, eta=0.85, phi=-0.59, mass=5.33
          B- [-521] (status=2) pt=65.50, eta=0.85, phi=-0.59, mass=5.28
            D*(2007)0 [423] (status=2) pt=20.06, eta=0.87, phi=-0.53, mass=2.01
              D0 [421] (status=2) pt=18.19, eta=0.87, phi=-0.53, mass=0.00
                e+ [-11] (status=1) pt=2.33, eta=1.00, phi=-0.36, mass=0.00
                nu(e) [12] (status=1) pt=0.52, eta=0.57, phi=-0.57, mass=0.00
            D(s)*- [-433] (status=2) pt=39.38, eta=0.83, phi=-0.61, mass=2.11
              D(s)- [-431] (status=2) pt=34.38, eta=0.83, phi=-0.61, mass=1.97
  t~ [-6] (status=22) pt=72.25, eta=-2.16, phi=2.52, mass=169.50
    t~ [-6] (status=62) pt=72.25, eta=-2.13, phi=2.27, mass=169.50
      W- [-24] (status=22) pt=42.12, eta=-1.87, phi=-2.23, mass=82.00
        W- [-24] (status=52) pt=23.19, eta=-2.43, phi=-2.95, mass=82.00
          e- [11] (status=1) pt=50.88, eta=-0.91, phi=-3.05, mass=0.00
          nu(e)~ [-12] (status=1) pt=27.88, eta=-1.75, phi=0.01, mass=0.00
      b~ [-5] (status=23) pt=91.00, eta=-1.37, phi=1.80, mass=0.00
        u~ [-2] (status=71) pt=28.50, eta=-0.69, phi=1.82, mass=0.00
        b~ [-5] (status=71) pt=14.34, eta=-2.70, phi=2.64, mass=0.00
        B*+ [523] (status=2) pt=12.88, eta=-2.70, phi=2.62, mass=5.33
          B+ [521] (status=2) pt=12.88, eta=-2.70, phi=2.62, mass=5.28
            D~0 [-421] (status=2) pt=11.00, eta=-2.67, phi=2.67, mass=0.00
    gamma [22] (status=1) pt=15.59, eta=-0.37, phi=-2.09, mass=0.00
  g [21] (status=23) pt=46.38, eta=-0.11, phi=-3.03, mass=0.00
    g [21] (status=52) pt=37.25, eta=-0.11, phi=-3.05, mass=0.00
      D~0 [-421] (status=2) pt=7.27, eta=0.15, phi=-3.13, mass=0.00
      c [4] (status=71) pt=27.00, eta=-0.17, phi=-3.03, mass=0.00
        D*(2007)0 [423] (status=2) pt=17.06, eta=-0.18, phi=-3.02, mass=2.01
          D0 [421] (status=2) pt=16.12, eta=-0.18, phi=-3.02, mass=0.00
        pi0 [111] (status=2) pt=11.38, eta=2.38, phi=-2.11, mass=0.00
          gamma [22] (status=1) pt=10.06, eta=2.38, phi=-2.11, mass=0.00

Event 0
g [21] (status=21) pt=0.00, eta=23104.00, phi=0.00, mass=0.00
  t [6] (status=22) pt=111.00, eta=1.71, phi=-0.34, mass=171.50
    t [6] (status=62) pt=108.75, eta=1.70, phi=-0.13, mass=171.39
