# File used : root://xrootd-cms.infn.it//store/mc/RunIISummer20UL18NanoAODv9/WHToAA_AToBB_AToGG_M-20_TuneCP5_13TeV_madgraph_pythia8/NANOAODSIM/106X_upgrade2018_realistic_v16_L1v1-v1/2530000/FB6A4557-3B3E-5E4A-900D-45A77C107EA2.root


Event Number : 0
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 22848.0000   0.000   0.0000   0.000
   1     -1      21       10625                 -1 -23104.0000   0.000   0.0000   0.000
   2     24      22        4481                  0  -0.1763  71.500  -0.2148 162.500
   3     25      22        4481                  0  -1.1406 125.000   2.9297 162.500
   4     24      44         257                  2  -0.1431  71.500  -0.1699 158.000
   5     25      44         257                  3  -1.1406 125.000   2.9062 165.000
   6     24      44         257                  4  -0.1543  71.500  -0.2065 160.500
   7     25      44         257                  5  -1.1328 125.000   2.9219 163.500
   8     24      62       10497                  6  -0.1499  71.500  -0.2144 161.000
   9     25      62       10497                  7  -1.1445 125.000   2.9375 162.000
  10    -13       1       12673                  8  -0.1150   0.000  -0.7129  73.500
  11     14       1       12673                  8  -0.1528   0.000   0.1353 102.750
  12     35      22       14721                  9  -1.7617  20.000   2.9609  67.000
  13     35      22       31105                  9  -0.3975  20.000   2.9219  95.000
  14      5      23        4481                 12  -2.0547   0.000   2.9922  26.375
  15     -5      23       22913                 12  -1.5234   0.000   2.9375  40.625
  16      5      52        8449                 14  -2.0469   0.000   2.9922  24.250
  17     -5      52        8449                 15  -1.5156   0.000   2.9688  33.625
  18     22       1       12673                 13  -0.1348   0.000   2.8750  37.500
  19     22       1       12673                 13  -0.5566   0.000   2.9531  57.500
  20   -511       2       12291                 15  -2.0312   5.281   2.9609  25.000
  21    523       2       28675                 15  -1.5391   5.328   2.9609  36.250
  22   -421       2       12354                 20  -2.0703   0.000   3.0547   8.469
  23    521       2       12354                 21  -1.5430   5.281   2.9609  36.125
  24    421       2       12354                 23  -1.5352   0.000   2.9766  16.875
  25   -421       2       12354                 23  -1.4961   0.000   2.9141   8.750

Event Number : 1
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0     -2      21       10625                 -1 22784.0000   0.000   0.0000   0.000
   1      1      21       10625                 -1 -23424.0000   0.000   0.0000   0.000
   2    -24      22        4481                  0  -2.2109  79.750   1.7930  64.750
   3     25      22        4481                  0  -2.3984 125.000  -1.3477  64.750
   4    -24      44         257                  2  -2.2109  79.750   1.8398  62.375
   5     25      44         257                  3  -2.3672 125.000  -1.4102  69.000
   6    -24      44         257                  4  -2.2422  79.750   1.8438  60.750
   7     25      44         257                  5  -2.3359 125.000  -1.4102  71.000
   8    -24      62       10497                  6  -2.2422  79.750   1.8477  60.125
   9     25      62       10497                  7  -2.3281 125.000  -1.4180  71.750
  10     13      23       22913                  8  -2.8125   0.000   2.9688  23.625
  11    -14      23        4481                  8  -1.2305   0.000   1.4453  54.125
  12     13       1        8449                 10  -2.8125   0.000   2.9688  23.125
  13     22       1       12289                 10  -2.7812   0.000   2.9375   0.445
  14    -14       1        8449                 11  -1.2305   0.000   1.4453  54.125
  15     35      22       14721                  9  -1.6953  20.000  -0.7383  84.750
  16     35      22       31105                  9  -1.7070  20.000  -2.8750  53.500
  17      5      23       12673                 15  -1.8008   0.000  -0.7383  60.000
  18     -5      23       12673                 15  -1.3789   0.000  -0.7344  24.750
  19     22       1       12673                 16  -2.3828   0.000   2.3672   4.312
  20     22       1       12673                 16  -1.5781   0.000  -2.8047  51.500
  21   -511       2       12291                 17  -1.8008   5.281  -0.7383  57.625
  22    513       2       28675                 17  -1.4102   5.328  -0.7324  24.312
  23   -411       2       12354                 21  -1.8086   0.000  -0.7324  21.062
  24    511       2       12354                 22  -1.4102   5.281  -0.7324  24.000
  25   -411       2       12354                 24  -1.4531   0.000  -0.7559   6.609

Event Number : 2
