
Event 0
g [21] (status=21) pt=0.00, eta=22976.00, phi=0.00, mass=0.00
  t [6] (status=22) pt=140.50, eta=-0.22, phi=-2.20, mass=173.50
    t [6] (status=62) pt=134.50, eta=-0.26, phi=-2.07, mass=173.68
      W+ [24] (status=22) pt=60.75, eta=0.68, phi=-2.40, mass=80.50
        s~ [-3] (status=23) pt=22.69, eta=1.30, phi=2.30, mass=0.00
          s~ [-3] (status=71) pt=14.47, eta=1.33, phi=2.32, mass=0.00
          Lambda(c)+ [4122] (status=2) pt=56.25, eta=0.05, phi=-2.02, mass=2.29
        c [4] (status=23) pt=65.00, eta=0.09, phi=-2.04, mass=0.00
          c [4] (status=73) pt=54.88, eta=0.04, phi=-2.02, mass=0.00
            c [4] (status=71) pt=54.88, eta=0.04, phi=-2.02, mass=0.00
      b [5] (status=23) pt=79.25, eta=-0.88, phi=-1.83, mass=0.00
        b [5] (status=71) pt=79.25, eta=-0.88, phi=-1.83, mass=0.00
          B*~0 [-513] (status=2) pt=57.88, eta=-0.88, phi=-1.83, mass=5.33
            B~0 [-511] (status=2) pt=57.00, eta=-0.88, phi=-1.83, mass=5.28
              D*(2010)- [-413] (status=2) pt=29.31, eta=-0.89, phi=-1.86, mass=2.01
                D~0 [-421] (status=2) pt=27.19, eta=-0.89, phi=-1.86, mass=0.00
          pi0 [111] (status=2) pt=15.25, eta=-0.91, phi=-1.85, mass=0.00
            gamma [22] (status=1) pt=15.16, eta=-0.91, phi=-1.85, mass=0.00
          e- [11] (status=1) pt=0.11, eta=0.85, phi=0.65, mass=0.00
          e+ [-11] (status=1) pt=0.01, eta=0.51, phi=-0.04, mass=0.00
          e- [11] (status=1) pt=0.00, eta=0.12, phi=0.12, mass=0.00
          e+ [-11] (status=1) pt=0.03, eta=0.82, phi=0.21, mass=0.00
  t~ [-6] (status=22) pt=80.50, eta=-0.04, phi=0.88, mass=172.50
    t~ [-6] (status=62) pt=86.25, eta=-0.06, phi=0.73, mass=172.69
      W- [-24] (status=22) pt=83.50, eta=0.05, phi=-0.19, mass=81.50
        W- [-24] (status=52) pt=82.25, eta=0.05, phi=-0.19, mass=81.50
          e- [11] (status=1) pt=21.81, eta=1.16, phi=-1.20, mass=0.00
          nu(e)~ [-12] (status=1) pt=73.25, eta=-0.36, phi=0.07, mass=0.00
      b~ [-5] (status=23) pt=75.50, eta=-0.12, phi=1.80, mass=0.00
        g [21] (status=71) pt=17.12, eta=0.00, phi=1.89, mass=0.00
        g [21] (status=71) pt=18.06, eta=0.05, phi=1.83, mass=0.00
        b~ [-5] (status=71) pt=33.38, eta=-0.32, phi=1.76, mass=0.00
        B+ [521] (status=2) pt=29.50, eta=-0.29, phi=1.74, mass=5.28
          D*(2007)~0 [-423] (status=2) pt=25.62, eta=-0.25, phi=1.78, mass=2.01
            D~0 [-421] (status=2) pt=22.38, eta=-0.24, phi=1.78, mass=0.00
              e- [11] (status=1) pt=1.50, eta=-0.26, phi=1.95, mass=0.00
              nu(e)~ [-12] (status=1) pt=7.64, eta=-0.24, phi=1.85, mass=0.00
  g [21] (status=23) pt=60.25, eta=0.20, phi=1.04, mass=0.00
    g [21] (status=71) pt=0.62, eta=-0.75, phi=-0.19, mass=0.00
    g [21] (status=71) pt=4.45, eta=0.32, phi=1.54, mass=0.00
    g [21] (status=71) pt=2.50, eta=0.55, phi=0.86, mass=0.00
    g [21] (status=71) pt=40.75, eta=0.20, phi=0.96, mass=0.00
    g [21] (status=71) pt=13.09, eta=0.20, phi=0.91, mass=0.00

Event 1
g [21] (status=21) pt=0.00, eta=22784.00, phi=0.00, mass=0.00
  t [6] (status=22) pt=18.69, eta=-4.34, phi=-2.12, mass=172.00
