# File used : 52967538-6671-C748-9CEC-C21D276D640B.root


Event Number : 0
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 26240.0000   0.000   0.0000 0.00000
   1     -1      21       10625                 -1 -22784.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0   3.0547  79.750  -1.6250 92.50000
   3     25      22        4481                  0   3.9844 125.000   1.5156 92.50000
   4     24      44         257                  2   3.0859  79.750  -1.6133 90.50000
   5     25      44         257                  3   3.9375 125.000   1.4805 97.75000
   6     24      44         257                  4   3.0781  79.750  -1.6289 88.50000
   7     25      44         257                  5   3.9297 125.000   1.4922 99.25000
   8     24      44         257                  6   3.0781  79.750  -1.6289 88.50000
   9     25      44         257                  7   3.9297 125.000   1.4961 99.00000
  10     24      62       10497                  8   3.0781  79.750  -1.6328 89.50000
  11     25      62       10497                  9   3.9297 125.000   1.4883 98.50000
  12    -15      23       22913                 10   2.8125   0.000  -0.2290 30.31250
  13     16      23        4481                 10   2.7812   0.000  -1.9727 89.50000
  14    -15       2        8451                 12   2.8125   0.000  -0.2290 30.31250
  15     22       1       12289                 12   3.5312   0.000  -0.0301 0.00000
  16     16       1        8449                 13   2.7812   0.000  -1.9727 89.50000
  17     35      22       14721                 11   2.9219  20.000   0.3604 47.75000
  18     35      22       31105                 11   3.8359  20.000   1.9922 89.25000
  19      5      23       22913                 17   3.1641   0.000   0.6035 22.62500
  20     -5      23        4481                 17   2.6016   0.000   0.1538 26.37500
  21      5      51        8449                 19   3.1719   0.000   0.6270 20.37500
  22     -5      52        8449                 20   2.6094   0.000   0.1562 25.31250
  23     22       1       12673                 18   3.6875   0.000   1.9453 65.00000
  24     22       1       12673                 18   4.1406   0.000   2.1250 24.62500
  25   -511       2       12291                 19   3.1484   5.281   0.5938 20.56250
  26    533       2       28675                 19   2.6172   5.422   0.1499 24.37500
  27    -16       1       13884                 14   2.8516   0.000  -0.3115 5.96875
  28    211       1       13884                 14   2.8047   0.000  -0.1543 4.03125
  29    211       1       13884                 14   2.8359   0.000  -0.2793 2.92188
  30   -211       1       13884                 14   2.7969   0.000  -0.2095 17.43750
  31   -411       2       12354                 25   3.1172   0.000   0.4482 6.92188
  32    531       2       12354                 26   2.6172   5.359   0.1504 23.93750
  33    433       2       28738                 32   2.5938   2.109   0.1396 10.06250
  34   -421       2       12354                 32   2.6172   0.000   0.1533 13.50000
  35    431       2       12354                 33   2.5859   1.969   0.1294 9.06250

Event Number : 1
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 23168.0000   0.000   0.0000 0.00000
   1     -1      21       10625                 -1 -22848.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0   1.3750  84.000   0.4590 128.50000
   3     25      22        4481                  0   0.6367 125.000  -2.6797 128.50000
   4     24      44         257                  2   1.3398  84.000   0.4434 130.50000
   5     25      44         257                  3   0.5664 125.000  -2.6406 123.25000
   6     24      44         257                  4   1.3320  84.000   0.4404 129.00000
   7     25      44         257                  5   0.5801 125.000  -2.6406 127.50000
   8     24      44         257                  6   1.3125  84.000   0.4453 131.50000
   9     25      44         257                  7   0.5957 125.000  -2.6406 126.00000
  10     24      44         257                  8   1.3086  84.000   0.4521 131.50000
  11     25      44         257                  9   0.5977 125.000  -2.6562 126.75000
  12     24      62       10497                 10   1.3164  84.000   0.4600 130.00000
  13     25      62       10497                 11   0.5938 125.000  -2.6641 127.25000
  14    -15       2       12675                 12   0.4268   0.000   0.8066 45.50000
  15     16       1       12673                 12   1.5781   0.000   0.2852 88.75000
  16     35      22       14721                 13   0.1953  20.000  -2.8906 126.25000
  17     35      22       31105                 13   1.4102  20.000  -1.2422 28.62500
  18      5      23       22913                 16   0.4072   0.000  -2.9531 33.25000
  19     -5      23        4481                 16   0.1162   0.000  -2.8594 93.00000
  20     22       1       12673                 17   1.5078   0.000  -1.2656 26.37500
  21     22       1       12673                 17  -0.6016   0.000  -0.9785 2.35156
  22    421       2       12291                 -1   5.6094   0.000  -0.8242 3.20312
  23      5      71        8449                 18   0.3018   0.000  -2.9141 29.37500
  24     -5      71        8449                 19   0.1189   0.000  -2.8672 78.75000
  25   -513       2       28675                 18   0.2764   5.328  -2.9531 41.37500
  26    533       2       28675                 18   0.1230   5.422  -2.8594 80.50000
  27  -4214       2       12291                 -1   5.1094   2.516   1.8867 1.42188
  28    -16       1       13884                 14   0.3799   0.000   0.7910 11.50000
  29    -11       1       13884                 14   0.5078   0.000   0.7168 2.32031
  30     12       1       13884                 14   0.4365   0.000   0.8184 31.68750
  31   -511       2       12354                 25   0.2764   5.281  -2.9531 40.62500
  32    531       2       12354                 26   0.1233   5.359  -2.8594 79.00000
  33  -4122       2       12354                 27   5.2500   2.289   1.8281 1.10938
  34    413       2       12354                 31   0.2559   2.008  -2.9766 19.31250
  35   -433       2       28738                 32   0.1194   2.109  -2.8672 54.50000
  36    421       2       12354                 34   0.2549   0.000  -2.9766 18.31250
  37   -431       2       12354                 35   0.1204   1.969  -2.8672 53.00000
  38    111       2       28738                 32   0.1406   0.000  -2.8125 15.96875
  39     22       1       12352                 38   0.1470   0.000  -2.8125 10.37500

Event Number : 2
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 23040.0000   0.000   0.0000 0.00000
   1     -3      21       10625                 -1 -22848.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0   0.7871  79.750  -0.7051 101.25000
   3     25      22        4481                  0   1.0000 125.000   2.4375 101.25000
   4     24      44         257                  2   0.7793  79.750  -0.6777 102.75000
   5     25      44         257                  3   0.9844 125.000   2.4062 99.50000
   6     24      44         257                  4   0.7656  79.750  -0.6641 100.00000
   7     25      44         257                  5   0.9824 125.000   2.3906 102.75000
   8     24      44         257                  6   0.7734  79.750  -0.6582 102.25000
   9     25      44         257                  7   0.9805 125.000   2.3828 100.25000
  10     24      44         257                  8   0.7852  79.750  -0.6602 101.00000
  11     25      44         257                  9   0.9648 125.000   2.3828 102.00000
  12     24      44         257                 10   0.7891  79.750  -0.6602 100.50000
  13     25      44         257                 11   0.9629 125.000   2.3828 102.25000
  14     24      62       10497                 12   0.7891  79.750  -0.6582 100.50000
  15     25      62       10497                 13   0.9629 125.000   2.3828 102.50000
  16     22       1        8193                 -1   4.4688   0.000  -0.8379 1.52344
  17    -11       1       12673                 14  -1.0625   0.000  -0.2456 11.71875
  18     12       1       12673                 14   0.9785   0.000  -0.7109 90.00000
  19     35      22       14721                 15   0.8672  20.000   0.5410 36.62500
  20     35      22       31105                 15   0.6250  20.000   2.6875 117.75000
  21      5      23       12673                 19   0.6309   0.000  -0.0098 15.21875
  22     -5      23       12673                 19   0.9004   0.000   0.8652 25.00000
  23     22       1       12673                 20   0.5996   0.000   2.7578 100.25000
  24     22       1       12673                 20   0.7090   0.000   2.3125 19.25000
  25   -513       2       28675                 21   0.6602   5.328   0.0328 14.71875
  26    523       2       28675                 21   0.8945   5.328   0.8457 24.43750
  27   -511       2       12354                 25   0.6562   5.281   0.0336 14.59375
  28    521       2       12354                 26   0.8926   5.281   0.8438 24.12500
  29    413       2       12354                 27   0.7891   2.008  -0.0095 10.59375
  30   -421       2       12354                 28   0.9629   0.000   0.9355 6.79688
  31    421       2       12354                 29   0.7871   0.000  -0.0069 9.81250

Event Number : 3
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0     -2      21       10625                 -1 23360.0000   0.000   0.0000 0.00000
   1      1      21       10625                 -1 -22784.0000   0.000   0.0000 0.00000
   2    -24      22        4481                  0   2.5703  75.500  -0.4912 34.12500
   3     25      22        4481                  0   3.1406 125.000   2.6484 34.12500
   4    -24      44         257                  2   2.7266  75.500  -0.4131 30.56250
   5     25      44         257                  3   3.0078 125.000   2.5469 40.62500
   6    -24      44         257                  4   2.6406  75.500  -0.3867 34.37500
   7     25      44         257                  5   3.1172 125.000   2.4844 35.37500
   8    -24      44         257                  6   2.6484  75.500  -0.3926 34.12500
   9     25      44         257                  7   3.1094 125.000   2.4922 35.75000
  10    -24      44         257                  8   2.6406  75.500  -0.3809 34.12500
  11     25      44         257                  9   3.1016 125.000   2.4766 35.75000
  12    -24      44         257                 10   2.6484  75.500  -0.3809 34.12500
  13     25      44         257                 11   3.1016 125.000   2.4766 35.87500
  14    -24      62       10497                 12   2.6484  75.500  -0.4004 33.75000
  15     25      62       10497                 13   3.1016 125.000   2.5078 36.12500
  16     15       2       12675                 14   0.9824   0.000  -0.1948 36.75000
  17    -16       1       12673                 14   3.9141   0.000  -2.2656 7.82812
  18     35      22       14721                 15   1.0742  20.000   2.1250 49.75000
  19     35      22       31105                 15   3.4531  20.000  -1.7148 21.18750
  20      5      23       22913                 18   0.7930   0.000   2.4297 22.56250
  21     -5      23        4481                 18   1.2148   0.000   1.8867 29.00000
  22     22       1       12673                 19   3.1250   0.000  -1.8789 24.31250
  23     22       1       12673                 19   3.1719   0.000   0.4619 4.84375
  24      5      71        8449                 20   0.8887   0.000   2.2812 18.68750
  25     -5      71        8449                 21   1.2109   0.000   1.8984 23.25000
  26   -523       2       28675                 20   0.9082   5.328   2.2422 20.62500
  27    533       2       28675                 20   1.2109   5.422   1.9453 22.06250
  28     21      71        8193                 -1   2.0781   0.000  -1.2539 6.25000
  29     21      71        8193                 -1   0.0292   0.000   3.0391 5.73438
  30     16       1       13884                 16   1.0234   0.000  -0.2051 12.21875
  31   -211       1       13884                 16   1.0039   0.000  -0.2402 3.89062
  32   -211       1       13884                 16   0.9941   0.000  -0.1714 7.51562
  33    211       1       13884                 16   0.9297   0.000  -0.1851 13.15625
  34   -521       2       12354                 26   0.9102   5.281   2.2344 20.43750
  35    531       2       12354                 27   1.2070   5.359   1.9453 21.87500
  36    -12       1       12352                 34   0.9023   0.000   2.8906 1.51562
  37     11       1       12352                 34   0.8555   0.000   2.1953 13.15625
  38    423       2       12354                 34   0.9863   2.008   2.1797 6.10938
  39   -431       2       12354                 35   1.2109   1.969   1.9180 11.40625
  40     11       1       12352                 28  -0.7988   0.000   0.9668 0.02289
  41    -11       1       12352                 28  -0.5234   0.000   1.0352 0.12891
  42    421       2       12354                 38   0.9902   0.000   2.1797 5.79688

Event Number : 4
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 23040.0000   0.000   0.0000 0.00000
   1     -1      21       10625                 -1 -22784.0000   0.000   0.0000 0.00000
