
Event 0
g [21] (status=21) pt=0.00, eta=22784.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=-23040.00, phi=0.00, mass=125.00
    H0 [25] (status=44) pt=5.81, eta=-4.17, phi=-2.67, mass=125.00
      H0 [25] (status=44) pt=12.38, eta=-3.39, phi=-2.27, mass=125.00
        H0 [25] (status=44) pt=9.78, eta=-3.62, phi=-2.04, mass=125.00
          H0 [25] (status=44) pt=8.25, eta=-3.80, phi=-2.35, mass=125.00
            H0 [25] (status=44) pt=8.31, eta=-3.78, phi=-2.34, mass=125.00
              H0 [25] (status=62) pt=8.06, eta=-3.82, phi=-2.33, mass=125.00
                35 [35] (status=22) pt=18.06, eta=-2.20, phi=3.00, mass=60.00
                  gamma [22] (status=1) pt=18.25, eta=-0.21, phi=-0.99, mass=0.00
                  gamma [22] (status=1) pt=33.00, eta=-1.57, phi=2.57, mass=0.00
                35 [35] (status=22) pt=14.91, eta=-2.63, phi=-0.60, mass=60.00
                  b [5] (status=23) pt=24.00, eta=-1.14, phi=1.84, mass=0.00
                    b [5] (status=73) pt=15.44, eta=-1.16, phi=1.84, mass=0.00
                      b [5] (status=71) pt=15.44, eta=-1.16, phi=1.84, mass=0.00
                  b~ [-5] (status=23) pt=36.62, eta=-1.39, phi=-1.04, mass=0.00
                    b~ [-5] (status=71) pt=11.53, eta=-0.88, phi=-2.28, mass=0.00
                    B(s)*~0 [-533] (status=2) pt=12.28, eta=-1.19, phi=1.82, mass=5.42
                      B(s)~0 [-531] (status=2) pt=12.06, eta=-1.19, phi=1.82, mass=5.36
                        nu(mu) [14] (status=1) pt=3.65, eta=-0.95, phi=1.97, mass=0.00
                        mu+ [-13] (status=1) pt=2.03, eta=-0.74, phi=2.21, mass=0.00
                        D(s2)*(2573)- [-435] (status=2) pt=6.70, eta=-1.38, phi=1.62, mass=2.58
                          D- [-411] (status=2) pt=4.23, eta=-1.35, phi=1.70, mass=0.00
                            e- [11] (status=1) pt=1.54, eta=-1.49, phi=2.12, mass=0.00
                            nu(e)~ [-12] (status=1) pt=1.57, eta=-1.06, phi=1.60, mass=0.00
                    B*+ [523] (status=2) pt=10.78, eta=-0.97, phi=-2.20, mass=5.33
                      B+ [521] (status=2) pt=10.69, eta=-0.97, phi=-2.20, mass=5.28
                        D*(2007)~0 [-423] (status=2) pt=8.34, eta=-0.89, phi=-2.43, mass=2.01
                          D~0 [-421] (status=2) pt=7.61, eta=-0.91, phi=-2.44, mass=0.00

Event 0
g [21] (status=21) pt=0.00, eta=22784.00, phi=0.00, mass=0.00
  H0 [25] (status=22) pt=0.00, eta=-23040.00, phi=0.00, mass=125.00
    H0 [25] (status=44) pt=5.81, eta=-4.17, phi=-2.67, mass=125.00
      H0 [25] (status=44) pt=12.38, eta=-3.39, phi=-2.27, mass=125.00
