# File used : 86D3D6A3-EE02-5849-8FC0-C89B9BE7D930.root


Event Number : 8
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0      2      21       10625                 -1 23296.0000   0.000   0.0000 0.00000
   1     -1      21       10625                 -1 -22784.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0   1.5156  79.500   1.9180 136.50000
   3     25      22        4481                  0   1.2578 125.000  -1.2227 136.50000
   4     24      44         257                  2   1.4961  79.500   1.9492 143.50000
   5     25      44         257                  3   1.1914 125.000  -1.2812 124.75000
   6     24      44         257                  4   1.4805  79.500   1.9180 146.50000
   7     25      44         257                  5   1.2148 125.000  -1.2578 122.50000
   8     24      44         257                  6   1.4531  79.500   1.9141 151.00000
   9     25      44         257                  7   1.2461 125.000  -1.2578 119.25000
  10     24      62       10497                  8   1.4609  79.500   1.9102 152.00000
  11     25      62       10497                  9   1.2461 125.000  -1.2539 118.00000
  12    -15      23       22913                 10  -0.0913   0.000   1.0039 10.71875
  13     16      23        4481                 10   1.5000   0.000   1.9648 145.50000
  14    -15       2        8451                 12  -0.0913   0.000   1.0039 10.71875
  15     22       1       12289                 12  -0.1855   0.000   0.9531 0.00000
  16     16       1        8449                 13   1.5000   0.000   1.9648 145.50000
  17     35      22       14721                 11   2.1719  40.000  -0.4131 25.37500
  18     35      22       31105                 11   0.7031  40.000  -1.4375 102.75000
  19      5      23       22913                 17   0.3027   0.000  -2.6875 5.60938
  20     -5      23        4481                 17   2.0156   0.000  -0.2666 29.31250
  21     22      23       12673                 18  -0.6250   0.000  -2.2734 5.48438
  22     22      23       22913                 18   0.7539   0.000  -1.3984 99.25000
  23     22       1        8449                 22   0.7539   0.000  -1.3984 96.75000
  24     22       1       12289                 21   0.8164   0.000  -2.5156 0.00002
  25     11       1        8193                 21  -0.6543   0.000  -1.8047 5.35938
  26     22       1       12289                 21  -0.6562   0.000  -1.8047 0.00007
  27    -11       1        8193                 21   0.7969   0.000  -2.5625 2.27344
  28      5      71        8449                 19   1.2812   0.000   2.1641 5.06250
  29   -513       2       28675                 19   1.4297   5.328   2.1953 4.17188
  30     -5      71        8449                 20   2.0156   0.000  -0.2676 25.31250
  31    511       2       12291                 19   2.0234   5.281  -0.2695 23.18750
  32    -16       1       13884                 14   0.0771   0.000   1.0625 2.36719
  33    111       2       30270                 14  -0.2891   0.000   0.9453 2.87500
  34    111       2       30270                 14   0.0360   0.000   0.9824 3.07031
  35    211       1       13884                 14  -0.1777   0.000   1.0469 2.41406
  36   -511       2       12354                 29   1.4375   5.281   2.1875 4.09375
  37   -411       2       12354                 31   2.0078   0.000  -0.3154 10.34375
  38     22       1       12876                 33  -0.2930   0.000   0.9473 2.85938
  39     22       1       12876                 33   0.2520   0.000   0.7461 0.01855
  40     22       1       12876                 34   0.0184   0.000   0.9766 2.60938
  41     22       1       12876                 34   0.1353   0.000   1.0156 0.46094
  42   -413       2       12354                 36   1.8164   2.008   2.2500 2.52344
  43     11       1       12352                 37   1.7930   0.000  -0.0211 0.77930
  44    -12       1       12352                 37   2.1016   0.000  -0.3945 5.71875
  45   -421       2       12354                 42   1.8164   0.000   2.2500 2.39062

Event Number : 17
Idx  PdgId  Status  StatusFlag  genPartIdxMother     eta    mass     phi      pt
---- ------ ------- ----------- ------------------ -------- ------- -------- -------
   0     -1      21       10625                 -1 22784.0000   0.000   0.0000 0.00000
   1      2      21       10625                 -1 -25024.0000   0.000   0.0000 0.00000
   2     24      22        4481                  0  -3.4062  79.500   2.8203 100.00000
   3     25      22        4481                  0  -2.6719 125.000  -0.3184 100.00000
   4     24      44         257                  2  -3.3984  79.500   2.8359 99.00000
   5     25      44         257                  3  -2.6641 125.000  -0.3467 102.75000
   6     24      44         257                  4  -3.3984  79.500   2.8359 99.75000
   7     25      44         257                  5  -2.6641 125.000  -0.3477 101.00000
   8     24      44         257                  6  -3.3984  79.500   2.8359 99.75000
   9     25      44         257                  7  -2.6719 125.000  -0.3486 100.25000
  10     24      62       10497                  8  -3.3984  79.500   2.8125 100.25000
  11     25      62       10497                  9  -2.6719 125.000  -0.3467 99.75000
  12    -11       1       12673                 10  -2.9844   0.000   2.3984 83.25000
  13     12       1       12673                 10  -3.4922   0.000  -2.5156 41.00000
  14     35      22       14721                 11  -2.6953  40.000   1.3672 22.12500
  15     35      22       31105                 11  -2.3672  40.000  -0.5566 105.25000
  16      5      23        4481                 14  -1.2969   0.000   0.5312 17.75000
  17     -5      23       22913                 14  -2.7734   0.000   2.2812 16.62500
  18     22      23       22913                 15  -2.2188   0.000  -0.6816 93.50000
  19     22      23       12673                 15  -2.7344   0.000   0.1924 17.25000
  20     22       1        8449                 18  -2.2188   0.000  -0.6816 93.25000
  21    423       2       12291                 -1   1.8398   2.008  -1.6406 2.69531
  22      5      71        8449                 16  -1.2969   0.000   0.5332 17.43750
  23     -5      71        8449                 17  -2.8438   0.000   2.3125 14.43750
  24   -513       2       28675                 17  -1.3242   5.328   0.5820 16.00000
  25    513       2       28675                 17  -2.8125   5.328   2.2656 13.75000
  26   -423       2       28675                 -1  -1.8867   2.008   1.0820 1.51172
  27      2      71        8193                 -1  -1.1211   0.000  -2.9141 2.95312
  28     -1      71        8193                 -1   8.1875   0.000   1.1523 0.32031
  29    421       2       12354                 21   1.8359   0.000  -1.6523 2.46875
  30   -511       2       12354                 24  -1.3242   5.281   0.5820 15.81250
  31    511       2       12354                 25  -2.8047   5.281   2.2734 13.65625
  32   -421       2       12354                 26  -1.8164   0.000   1.0273 1.47266
  33     11       1       12352                 27   2.5703   0.000   0.3213 0.03406
